=== BAHUNG LMS ALL ROWS ===
Row 2 | Code: LMS-001 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Quản lý danh mục khóa học | Phase: 1 | BE: Done | FE: Done | All: Done | Test: 
Row 92 | Code: LMS-091 | Domain: Khảo sát & xác nhận | Sub: Survey | Name: Học viên ký xác nhận đã hiểu quy định | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 93 | Code: LMS-092 | Domain: Khảo sát & xác nhận | Sub: Survey | Name: Tạo khảo sát mức độ hiểu bài | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Not Started | FE: Not Started | All: Not Started | Test: 
Row 94 | Code: LMS-093 | Domain: Khảo sát & xác nhận | Sub: Survey | Name: Tạo khảo sát chất lượng khóa học | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Not Started | FE: Not Started | All: Not Started | Test: 
Row 95 | Code: LMS-094 | Domain: Phân tích hiệu quả nội dung đào tạo | Sub: Báo cáo | Name: Báo cáo tỷ lệ hoàn thành khóa theo cửa hàng | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 96 | Code: LMS-095 | Domain: Phân tích hiệu quả nội dung đào tạo | Sub: Báo cáo | Name: Báo cáo tỷ lệ hoàn thành khóa theo bộ phận sản xuất | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 97 | Code: LMS-096 | Domain: Phân tích hiệu quả nội dung đào tạo | Sub: Báo cáo | Name: Báo cáo học viên chưa hoàn thành onboarding | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 98 | Code: LMS-097 | Domain: Phân tích hiệu quả nội dung đào tạo | Sub: Báo cáo | Name: Báo cáo chứng chỉ ATTP còn hạn / hết hạn | Phase: HỦY / CHƯA TRIỂN KHAI | BE: In Progress | FE: In Progress | All: In Progress | Test: 
Row 99 | Code: LMS-098 | Domain: Phân tích hiệu quả nội dung đào tạo | Sub: Báo cáo | Name: Báo cáo kết quả quiz theo khóa | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 100 | Code: LMS-099 | Domain: Phân tích hiệu quả nội dung đào tạo | Sub: Báo cáo | Name: Báo cáo thời gian đào tạo theo kỳ | Phase: HỦY / CHƯA TRIỂN KHAI | BE: In Progress | FE: In Progress | All: In Progress | Test: 
Row 101 | Code: LMS-100 | Domain: Phân tích hiệu quả nội dung đào tạo | Sub: Báo cáo | Name: Báo cáo mentor – số học việc đang kèm | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Not Started | FE: Not Started | All: Not Started | Test: 
Row 102 | Code: LMS-101 | Domain: Phân tích hiệu quả nội dung đào tạo | Sub: Báo cáo | Name: Xuất báo cáo đào tạo ra Excel | Phase: HỦY / CHƯA TRIỂN KHAI | BE: In Progress | FE: In Progress | All: In Progress | Test: 
